Italian,Bulgarian
e,И
non,Не
che,Това
di,От
la,там
il,The
un,а
a,до
per,За
è,И
in,в
una,а
mi,аз
sono,Аз съм
ho,Аз имам
l',на
si,Да
ha,има
ma,но
lo,на
cosa,Какво
con,с
no,Не
le,на
ti,ти
se,ако
da,от
i,на
come,като
io,Аз
ci,Там
hai,ти имаш
questo,Това
bene,Добре
qui,тук
sei,шест
del,на
tu,ти
solo,Сам
mio,моят
al,към
me,аз
tutto,Всички
c',там
te,чай
era,ера
della,от
mia,моят
fatto,Готово
fare,Направи
essere,да бъде
so,Знам
quando,Когато
sì,Да
ora,Сега
lei,тя
gli,The
ne,не
oh,Ох
questa,това
detto,каза
ok,Добре
va,отида
perche,Защо
quello,това
mai,никога
alla,в
o,или
anche,Също така
stato,състояние
abbiamo,ние имаме
tutti,всеки
dei,на
grazie,Благодаря ти
chi,СЗО
sta,е
molto,Много
più,повече
voglio,Искам
perché,Защо
tuo,твоят
beh,Добре
sia,е
nel,В
lui,него
allora,По това време
posso,Мога
piu,повече
ehi,Хей
prima,Преди
tua,твоят
suo,неговият
niente,Нищо
qualcosa,нещо
sai,знаеш
siamo,ние сме
un',а
cosi,Харесва ми това
davvero,Наистина
ancora,Все още
